	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	Robust SE1	Robust SE 2	Robust SE 3	HC3 SE 1	HC3 SE 2	HC3 SE 3	Bootstrap SE 1	Bootstrap SE 2	Bootstrap SE 3
									
train	1.794***	1.686**	1.680**	1.794***	1.686**	1.680**	1.794***	1.686**	1.680**
	(0.671)	(0.654)	(0.657)	(0.673)	(0.657)	(0.664)	(0.663)	(0.665)	(0.655)
age		0.0553	0.0543		0.0553	0.0543		0.0553	0.0543
		(0.0372)	(0.0372)		(0.0378)	(0.0378)		(0.0372)	(0.0379)
educ		0.415**	0.404***		0.415**	0.404**		0.415**	0.404***
		(0.161)	(0.155)		(0.163)	(0.160)		(0.168)	(0.152)
black		-2.229**	-2.180**		-2.229**	-2.180**		-2.229**	-2.180**
		(0.989)	(1.004)		(1.013)	(1.031)		(0.961)	(1.022)
hisp		0.0885	0.144		0.0885	0.144		0.0885	0.144
		(1.338)	(1.352)		(1.373)	(1.396)		(1.269)	(1.369)
re74			0.0833			0.0833			0.0833
			(0.106)			(0.115)			(0.111)
re75			0.0468			0.0468			0.0468
			(0.120)			(0.128)			(0.122)
Constant	4.555***	0.816	0.674	4.555***	0.816	0.674	4.555***	0.816	0.674
	(0.340)	(2.314)	(2.325)	(0.341)	(2.344)	(2.391)	(0.332)	(2.308)	(2.286)
									
Observations	445	445	445	445	445	445	445	445	445
R-squared	0.018	0.048	0.055	0.018	0.048	0.055	0.018	0.048	0.055
Number Treated	185	185	185	185	185	185	185	185	185
Number Control	260	260	260	260	260	260	260	260	260
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
